run	subcxi	event	id	multi	a	b	c	alpha	beta	gamma	indby	phoen	bmdv	bmbw	npeak	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	/LCLS/machineTime	/LCLS/machineTimeNanoSeconds	/LCLS/fiducial	/cheetah/frameNumber	row	col	chiprow	chipframe
105	1	1914	0105011914	1	13.086820	22.504230	30.954281	89.183319	89.246941	89.874634	mosflm-comb-latt-nocell-retry-multi-refine	9473.897461	0.000000	0.000000	49	0.001650	-0.029000	-0.013000	1.260000	1917	0	5	0.051340	0.050970	-0.024622	0.032147	-0.022364	0.021010	0.004330	-0.017841	-0.026589	1506768256	627530048	24324	22646	62	217	62	22646
105	1	2118	0105012118	1	12.750610	22.706699	30.844080	89.211571	90.100952	90.384117	mosflm-comb-latt-nocell-retry-multi-refine	9464.671875	0.000000	0.000000	186	0.008620	-0.026000	-0.022000	1.770000	9665	0	70	-0.033607	-0.055497	-0.044066	0.003045	0.025915	-0.035484	0.029145	-0.012755	-0.006261	1506768256	554779264	26097	22960	63	96	63	22960
105	1	2142	0105012142	1	13.065800	22.798830	30.803400	89.159851	90.055710	89.322281	dirax-comb-nolatt-nocell-retry-multi-refine	9478.185547	0.000000	0.000000	234	0.022830	0.022000	0.002000	2.080000	26344	0	218	0.047916	-0.057693	0.015299	-0.011114	0.002690	0.042353	-0.023883	-0.021319	-0.005407	1506768256	904970496	26223	23002	63	138	63	23002
105	1	2606	0105012606	1	12.982370	22.608170	30.998341	89.120949	89.521278	89.781914	mosflm-comb-latt-nocell-retry-multi-refine	9465.373047	0.000000	0.000000	37	0.001530	-0.014000	-0.017000	1.190000	1718	0	7	-0.075397	-0.011385	-0.010927	-0.008188	0.040724	0.015214	0.002929	0.011291	-0.030082	1506768256	102974456	30252	23787	65	202	65	23787
105	1	2677	0105012677	1	13.214540	22.687300	30.356581	89.081940	90.707703	90.922546	dirax-comb-nolatt-nocell-retry-multi-refine	9466.772461	0.000000	0.000000	121	0.009820	0.056000	0.023000	1.310000	11282	0	73	-0.049567	0.018017	0.054290	-0.032014	-0.021867	-0.020994	0.008103	-0.027074	0.016939	1506768256	928488704	30549	23886	65	301	65	23886
105	1	3072	0105013072	1	13.072740	22.820290	30.953190	89.032463	90.840431	90.284264	mosflm-comb-latt-nocell-retry-multi-refine	9438.950195	0.000000	0.000000	134	0.008790	0.034000	-0.017000	1.380000	10224	0	45	0.003416	0.076428	-0.000186	-0.042686	0.002139	0.009702	0.007701	0.000204	0.031383	1506768256	25773146	34182	24544	67	216	67	24544
105	1	3206	0105013206	1	13.085900	22.234489	31.519810	89.117867	90.083778	90.340919	mosflm-comb-latt-nocell-retry-multi-refine	9473.877930	0.000000	0.000000	163	0.009980	-0.114000	0.066000	1.370000	11574	0	54	0.076023	-0.007518	-0.001985	0.003349	0.037607	-0.024450	0.002395	0.016681	0.026884	1506768256	252949376	35703	24772	68	286	68	24772
105	1	3245	0105013245	1	13.100820	22.615250	30.835020	89.041367	90.765038	90.750862	dirax-comb-nolatt-nocell-retry-multi-refine	9465.801758	0.000000	0.000000	97	0.005400	0.011000	0.015000	1.380000	6260	0	37	-0.064840	0.035898	-0.018319	-0.019972	-0.038728	-0.007576	-0.009550	-0.000526	0.030996	1506768256	803236480	35901	24838	68	220	68	24838
105	1	3283	0105013283	1	13.008130	22.612900	31.023979	89.008659	89.922348	90.238411	mosflm-comb-latt-nocell-retry-multi-refine	9464.522461	0.000000	0.000000	126	0.004040	0.018000	-0.034000	1.540000	4615	0	19	-0.070964	-0.029277	0.004099	-0.016588	0.040561	0.005995	-0.002990	0.002893	-0.031968	1506768256	145081120	36024	24879	68	179	68	24879
105	1	3282	0105013282	1	13.031860	22.815010	31.010920	89.083237	89.969162	89.967117	mosflm-comb-latt-nocell-retry-multi-refine	9465.621094	0.000000	0.000000	217	0.012160	0.004000	0.010000	2.030000	13818	0	57	-0.070368	0.029058	-0.009602	-0.017454	-0.037811	0.013685	0.000553	0.011277	0.030210	1506768256	136734544	36021	24878	68	180	68	24878
